label,full_name,network,x,y,z,t
1,7Networks_LH_Vis_1,Vis,120,18,131,0
2,7Networks_LH_Vis_2,Vis,120,18,132,0
3,7Networks_LH_Vis_3,Vis,120,18,133,0
4,7Networks_LH_Vis_4,Vis,120,18,135,0
5,7Networks_LH_Vis_5,Vis,120,18,136,0
6,7Networks_LH_Vis_6,Vis,120,18,137,0
7,7Networks_LH_Vis_7,Vis,120,18,138,0
8,7Networks_LH_Vis_8,Vis,120,18,139,0
9,7Networks_LH_Vis_9,Vis,120,18,140,0
10,7Networks_LH_SomMot_1,SomMot,70,130,179,0
11,7Networks_LH_SomMot_2,SomMot,70,130,181,0
12,7Networks_LH_SomMot_3,SomMot,70,130,182,0
13,7Networks_LH_SomMot_4,SomMot,70,130,183,0
14,7Networks_LH_SomMot_5,SomMot,70,130,184,0
15,7Networks_LH_SomMot_6,SomMot,70,130,185,0
16,7Networks_LH_DorsAttn_Post_1,DorsAttn,0,118,13,0
17,7Networks_LH_DorsAttn_Post_2,DorsAttn,0,118,15,0
18,7Networks_LH_DorsAttn_Post_3,DorsAttn,0,118,16,0
19,7Networks_LH_DorsAttn_Post_4,DorsAttn,0,118,17,0
20,7Networks_LH_DorsAttn_Post_5,DorsAttn,0,118,18,0
21,7Networks_LH_DorsAttn_Post_6,DorsAttn,0,118,19,0
22,7Networks_LH_DorsAttn_FEF_1,DorsAttn,0,118,20,0
23,7Networks_LH_DorsAttn_FEF_2,DorsAttn,0,118,21,0
24,7Networks_LH_SalVentAttn_ParOper_1,SalVentAttn,196,58,251,0
25,7Networks_LH_SalVentAttn_FrOper_1,SalVentAttn,196,59,251,0
26,7Networks_LH_SalVentAttn_FrOper_2,SalVentAttn,196,59,252,0
27,7Networks_LH_SalVentAttn_PFCl_1,SalVentAttn,196,59,253,0
28,7Networks_LH_SalVentAttn_Med_1,SalVentAttn,197,58,251,0
29,7Networks_LH_SalVentAttn_Med_2,SalVentAttn,197,58,252,0
30,7Networks_LH_SalVentAttn_Med_3,SalVentAttn,197,58,253,0
31,7Networks_LH_Limbic_OFC_1,Limbic,220,248,165,0
32,7Networks_LH_Limbic_TempPole_1,Limbic,220,248,166,0
33,7Networks_LH_Limbic_TempPole_2,Limbic,220,248,167,0
34,7Networks_LH_Cont_Par_1,Cont,230,148,35,0
35,7Networks_LH_Cont_PFCl_1,Cont,230,149,36,0
36,7Networks_LH_Cont_pCun_1,Cont,231,149,35,0
37,7Networks_LH_Cont_Cing_1,Cont,231,149,36,0
38,7Networks_LH_Default_Temp_1,Default,205,62,80,0
39,7Networks_LH_Default_Temp_2,Default,205,62,81,0
40,7Networks_LH_Default_Temp_3,Default,205,62,82,0
41,7Networks_LH_Default_Temp_4,Default,205,62,83,0
42,7Networks_LH_Default_PFC_1,Default,205,63,76,0
43,7Networks_LH_Default_PFC_2,Default,205,63,77,0
44,7Networks_LH_Default_PFC_3,Default,205,63,79,0
45,7Networks_LH_Default_PFC_4,Default,205,63,80,0
46,7Networks_LH_Default_PFC_5,Default,205,63,81,0
47,7Networks_LH_Default_PFC_6,Default,205,63,82,0
48,7Networks_LH_Default_PFC_7,Default,205,63,83,0
49,7Networks_LH_Default_PCC_1,Default,205,63,84,0
50,7Networks_LH_Default_PCC_2,Default,205,63,85,0
51,7Networks_RH_Vis_1,Vis,124,18,133,0
52,7Networks_RH_Vis_2,Vis,124,18,134,0
53,7Networks_RH_Vis_3,Vis,124,18,136,0
54,7Networks_RH_Vis_4,Vis,124,18,137,0
55,7Networks_RH_Vis_5,Vis,124,18,138,0
56,7Networks_RH_Vis_6,Vis,124,18,139,0
57,7Networks_RH_Vis_7,Vis,124,18,140,0
58,7Networks_RH_Vis_8,Vis,124,18,141,0
59,7Networks_RH_SomMot_1,SomMot,74,130,179,0
60,7Networks_RH_SomMot_2,SomMot,74,130,180,0
61,7Networks_RH_SomMot_3,SomMot,74,130,182,0
62,7Networks_RH_SomMot_4,SomMot,74,130,183,0
63,7Networks_RH_SomMot_5,SomMot,74,130,184,0
64,7Networks_RH_SomMot_6,SomMot,74,130,185,0
65,7Networks_RH_SomMot_7,SomMot,74,130,186,0
66,7Networks_RH_SomMot_8,SomMot,74,130,187,0
67,7Networks_RH_DorsAttn_Post_1,DorsAttn,4,119,14,0
68,7Networks_RH_DorsAttn_Post_2,DorsAttn,4,119,16,0
69,7Networks_RH_DorsAttn_Post_3,DorsAttn,4,119,17,0
70,7Networks_RH_DorsAttn_Post_4,DorsAttn,4,119,18,0
71,7Networks_RH_DorsAttn_Post_5,DorsAttn,4,119,19,0
72,7Networks_RH_DorsAttn_FEF_1,DorsAttn,5,118,15,0
73,7Networks_RH_DorsAttn_FEF_2,DorsAttn,5,118,16,0
74,7Networks_RH_SalVentAttn_TempOccPar_1,SalVentAttn,201,58,252,0
75,7Networks_RH_SalVentAttn_TempOccPar_2,SalVentAttn,201,58,253,0
76,7Networks_RH_SalVentAttn_FrOper_1,SalVentAttn,201,59,252,0
77,7Networks_RH_SalVentAttn_Med_1,SalVentAttn,200,57,250,0
78,7Networks_RH_SalVentAttn_Med_2,SalVentAttn,200,57,251,0
79,7Networks_RH_Limbic_OFC_1,Limbic,224,249,165,0
80,7Networks_RH_Limbic_TempPole_1,Limbic,224,249,166,0
81,7Networks_RH_Cont_Par_1,Cont,234,147,35,0
82,7Networks_RH_Cont_Par_2,Cont,234,147,36,0
83,7Networks_RH_Cont_PFCl_1,Cont,233,148,34,0
84,7Networks_RH_Cont_PFCl_2,Cont,233,148,35,0
85,7Networks_RH_Cont_PFCl_3,Cont,233,148,36,0
86,7Networks_RH_Cont_PFCl_4,Cont,233,148,37,0
87,7Networks_RH_Cont_PFCmp_1,Cont,234,148,37,0
88,7Networks_RH_Cont_PFCmp_2,Cont,234,148,38,0
89,7Networks_RH_Cont_PFCmp_3,Cont,234,148,39,0
90,7Networks_RH_Default_Par_1,Default,209,62,78,0
91,7Networks_RH_Default_Temp_1,Default,209,61,79,0
92,7Networks_RH_Default_Temp_2,Default,209,61,80,0
93,7Networks_RH_Default_Temp_3,Default,209,61,81,0
94,7Networks_RH_Default_PFCv_1,Default,209,61,78,0
95,7Networks_RH_Default_PFCv_2,Default,209,61,82,0
96,7Networks_RH_Default_PFCm_1,Default,208,62,79,0
97,7Networks_RH_Default_PFCm_2,Default,208,62,80,0
98,7Networks_RH_Default_PFCm_3,Default,208,62,81,0
99,7Networks_RH_Default_PCC_1,Default,208,62,78,0
100,7Networks_RH_Default_PCC_2,Default,208,62,82,0
